model,window,segment,bank_id,forecast_origin,target_period,nco_rate,prediction,error,absolute_error,squared_error,squared_error_share,data_audit_status,data_audit_reason,mapping_id
dynamic_fe,1,CRE,1929247,2013-08-14,2013-09-30,0.00026088529051652325,0.013231529243069843,-0.01297064395255332,0.01297064395255332,0.000168237604543908,0.023154035547560486,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,694904,2012-05-15,2012-06-30,0.002312770063121688,0.014328095893629197,-0.01201532583050751,0.01201532583050751,0.000144368054813261,0.01986894120455692,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,3303298,2015-02-14,2015-03-31,-0.00998136690264301,0.0020072463267008563,-0.011988613229343865,0.011988613229343865,0.00014372684716279876,0.019780693724022354,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
dynamic_fe,1,CRE,3212149,2016-11-14,2016-12-31,0.0,0.011775958155378793,-0.011775958155378793,0.011775958155378793,0.00013867319047723229,0.01908517415299664,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,143662,2013-05-15,2013-06-30,0.00045574897329222206,0.011869829022308974,-0.011414080049016753,0.011414080049016753,0.00013028122336536228,0.017930212957793193,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,1842065,2016-05-15,2016-06-30,-0.0003012707396054706,0.009933623063677828,-0.010234893803283298,0.010234893803283298,0.00010475305116448685,0.014416847392432625,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,1929247,2012-11-14,2012-12-31,0.006746920090029593,0.016973799868545747,-0.010226879778516154,0.010226879778516154,0.00010458907000422262,0.01439427915851024,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,694904,2014-02-14,2014-03-31,9.271047469110149e-05,0.010237859383256623,-0.010145148908565521,0.010145148908565521,0.00010292404637696819,0.014165126964162897,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,1842065,2016-08-14,2016-09-30,-1.9827958877133096e-05,0.010103436792316846,-0.010123264751193978,0.010123264751193978,0.00010248048922276649,0.014104081527005116,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,694904,2013-05-15,2013-06-30,0.0006234226065280415,0.010686399989261533,-0.010062977382733491,0.010062977382733491,0.00010126351380540578,0.013936592860303831,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,694904,2013-08-14,2013-09-30,0.000796519101862545,0.010656230242379862,-0.009859711140517317,0.009859711140517317,9.721390377444129e-05,0.013379257210733062,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,143662,2016-08-14,2016-09-30,0.00045833530798379855,0.010156831760294778,-0.00969849645231098,0.00969849645231098,9.406083343548865e-05,0.012945309622677537,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,694904,2013-02-14,2013-03-31,5.2323950738812805e-05,0.009593274481491804,-0.009540950530752991,0.009540950530752991,9.102973703027578e-05,0.012528148940292376,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,143662,2016-11-14,2016-12-31,0.00023099223461963612,0.009457654445230437,-0.009226662210610801,0.009226662210610801,8.51312955487134e-05,0.011716364178439938,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,1929247,2013-11-14,2013-12-31,0.0022331186861227624,0.011366260822432488,-0.009133142136309726,0.009133142136309726,8.341428528203619e-05,0.011480057219255943,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,1,CRE,694904,2012-11-14,2012-12-31,0.00038937502338257226,0.009434361985098942,-0.00904498696171637,0.00904498696171637,8.181178913761912e-05,0.011259510494323364,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
dynamic_fe,2,CI,694904,2018-11-14,2018-12-31,0.033025062128346966,-0.005863906910595754,0.03888896903894272,0.03888896903894272,0.0015123519129118454,0.08014483589749234,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
dynamic_fe,2,CI,936855,2018-11-14,2018-12-31,0.03404249420745764,-0.004380152167672371,0.038422646375130015,0.038422646375130015,0.0014762997544682916,0.07823430548619022,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
