bank_id,cert,rssd_id,bank_name,parent_name,assets,form_type,first_report_date,last_report_date,active_2025q4,failed_flag,acquired_flag,specialized_business_flag,core_sample_flag,exclusion_reason,specialized_review_status,specialized_review_period,primary_source,primary_source_url,evidence_summary,credit_card_assessment,auto_finance_assessment,custody_asset_servicing_assessment,broker_dealer_trading_assessment
60143,983,60143,COMERICA BANK,COMERICA INC,80052000,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
606046,11813,606046,CADENCE BANK,,53529044,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
613008,9712,613008,ROCKLAND TRUST CO,INDEPENDENT BANK CORP,24909975,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
619877,32188,619877,USAA FEDERAL SAVINGS BANK,UNITED SERVICES AUTOMOBILE ASSN,107989000,31,2012-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,USAA 2025 Annual Report to Members,https://www.usaa.com/about/annual-report-members/,USAA states that its bank offers deposit credit-card consumer-lending mortgage and other banking products; it is not classified as a pure prohibited specialty under this legal-entity screen.,no,no,no,no
63069,17281,63069,CITY NATIONAL BANK,ROYAL BANK OF CANADA,98429760,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
637451,17491,637451,PLAINSCAPITAL BANK,DIAMOND HTH STOCK CO GP LLC,12749613,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
645625,803,645625,WESBANCO BANK INC,WESBANCO INC,27619827,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
652874,29209,652874,NEXBANK,SLHC TRUST THE,13937262,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
656377,28088,656377,WAFD BANK,WAFD INC,27269094,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
659855,1105,659855,FIRST INTERSTATE BANK,FIRST INTRST BANCSYSTEM,26568494,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
663245,3890,663245,SIMMONS BANK,SIMMONS FIRST NATIONAL CORP,24498708,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
664756,16835,664756,PROSPERITY BANK,PROSPERITY BANCSHARES INC,38458815,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
671464,26610,671464,BANK OF HOPE,HOPE BCORP INC,18526390,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
682563,5510,682563,FROST BANK,CULLEN FROST BANKERS INC,53127804,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
693224,34589,693224,ATLANTIC UNION BANK,ATLANTIC UNION BANKSHARES CORP,37497884,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
694904,32541,694904,FLAGSTAR BANK NATIONAL ASSN,,87511954,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
702117,7230,702117,NBT BANK NATIONAL ASSN,NBT BCORP INC,15879824,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
